"Force Accounting Date","Inventory Reference","Inventories/Location","Inventories / Product","Inventories / ProductName","Inventories / Checked Quantity","Inventories / Product Unit of Measure"
"2016-10-23","beginning balance","Physical Locations/WH/Stock","13170-0001","Wafer Tango Pandan 171 Gr","178","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0002","Yuppy Apple 120G","345","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0003","Alfredo 4 Season 200Gr","39","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0004","Alfredo Choco Milk & Dark 110G","58","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0005","Alpenliebble Original With Mil","70","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0006","Apollo Roka Reff 480Gr","52","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0007","Apollo Roka Toples","97","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0008","Astor Double 330 G","239","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0009","Biskitop Durian 400Gr","276","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0010","Biskitop Traditional 1500G","37","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0011","Cadbury Dairi Milk Almond Nut","169","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0012","Cavalier Choco Milk 44 Gr","354","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0013","Cha Cha Coklat 85G","83","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0014","Champ Hicken Ball 200G","342","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0015","Chitato Chicken Bbq 40G","293","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0016","Chitato Chicken Bbq 75G","16","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0017","Coco Almonds 100 Gr","395","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0018","Coco Creamy Milk 100Gr","232","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0019","Coco Fruit & Nuts 100Gr","59","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0020","Coco Hazelnuts 100Gr","211","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0021","Coco Multi Pack 3X50Gr","371","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0022","Coco Multi Pack Assorted 100G","260","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0023","Coco Multi Pak Assor Bar 100Gr","46","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0024","Cornet Beef Cip 198G","269","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0025","Magnum Mini Clasic","53","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0026","Mentos Anggur","379","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0027","Mentos Buah","457","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0028","Mentos Mint","367","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0029","Milna Ayam Sayur 120 G","410","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0030","Milna Biscuit Aple+Orange 65G","366","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0031","Mini Black Orange 45G","65","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0032","Mio Fullo Coklat","355","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0033","Mlkuat Tiger Straw 170 Ml","28","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0034","Mr Bamboe Daun Kemangi 20Gr","391","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0035","Much Better Vanila","149","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0036","Nestle Cereal Cbl Brown R. 120","121","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0037","Nestle Cerelac Serealia Oats 1","17","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0038","Nestle Cruch Chips Orange 14G","488","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0039","Nestle Crunch Chios Orng 60Gr","489","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0040","Nestle Crunch Chip Peanut 60Gr","195","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0041","Nestle Crunch Chips 30G","53","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0042","Nestle Crunch Chips 60G","253","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0043","Nestle Crunch Chips Sac 14G","306","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0044","Nestle Crunch Chips Straw 30G","51","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0045","Nestle Crunch Chips Straw 60G","14","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0046","Nissin Wafer Blueberry 100 Gr","398","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0047","Panner Pie 168G","139","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0048","Permen Mintz Tpl/C","260","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0049","Piatos Ayam Panggang 55 G","483","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0050","Piatos Keju 55 Gr","216","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0051","Piatos Sapi Panggang 55Gr","175","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0052","Piatos Sapi Panggang 85 Gr","290","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0053","Plum Candy 340G","324","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0054","Qtela Garlic Chicken 185G","423","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0055","Qtela Grilled Cheese 185 Gr","223","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0056","Ratafa Permen Tusuk","207","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0057","Rich & Rich Choco Cookies","276","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0058","Rich & Rich Cookies 80Gr","469","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0059","Roma Chees Kress 72G","59","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0060","Roma Marie Susu 115 Gr/40","315","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0061","Roma Sari Gandum 39G","301","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0062","Roma Super Keju 11Gr","124","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0063","Silver Queen Caramel 54 G","73","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0064","Silver Queen Bites Almond 45 Gr","138","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0065","Soy Joy Strawberry 30G","483","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0066","Sponge Bob Super Suprise 10G","192","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0067","Sq Crispy 60 Gr","457","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0068","Sq Crispy Dark  35Gr","361","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0069","Sq Montes 55 Gr","224","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0070","Sq O Nut 44Gr","10","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0071","Sq Rocker Orange 22 Gr","425","Unit(s)"
,,"Physical Locations/WH/Stock","13170-0072","Sukro Kribo 70Gr","198","Unit(s)"
